side,symbol,shares,price,date,state
sell,TMFC,0.00000000,,2020-07-06T18:50:43.613000Z,cancelled
sell,MMM,1.00000000,158.11000000,2020-07-06T19:50:00.002000Z,filled
sell,SWCH,0.00000000,,2020-07-06T20:40:01.102000Z,cancelled
sell,HEINY,0.00000000,,2020-07-06T18:54:10.337000Z,cancelled
sell,HEINY,1.00000000,47.15000000,2020-07-06T18:31:40.566000Z,filled
sell,HEINY,0.00000000,,2020-07-06T18:31:27.857000Z,cancelled
buy,DBX,2.00000000,22.27000000,2020-07-06T15:22:36.655000Z,filled
buy,DELL,1.00000000,54.20000000,2020-07-06T15:22:02.194000Z,filled
sell,INO,3.00000000,19.84000000,2020-07-06T14:22:07.155000Z,filled
sell,GNUS,4.00000000,3.20000000,2020-07-06T13:50:23.718000Z,filled
buy,LLNW,2.00000000,7.90000000,2020-07-06T13:32:49.773000Z,filled
sell,BDJ,4.00000000,7.40000000,2020-07-06T12:59:15.723000Z,filled
buy,LLNW,0.00000000,,2020-07-02T22:00:02.063000Z,cancelled
buy,PLUG,2.00000000,9.11000000,2020-07-02T20:36:39.326000Z,filled
buy,INO,1.00000000,21.25000000,2020-07-06T13:31:41.411000Z,filled
sell,SNAP,0.00000000,,2020-07-06T15:10:36.446000Z,cancelled
sell,SNAP,0.00000000,,2020-07-02T20:32:06.694000Z,cancelled
sell,SIRI,1.00000000,5.84000000,2020-07-02T20:03:55.686000Z,filled
buy,GRAF,0.00000000,,2020-07-02T20:33:00.815000Z,cancelled
buy,MMM,1.00000000,156.98000000,2020-07-02T19:59:50.709000Z,filled
sell,MSFT,1.00000000,206.09000000,2020-07-02T19:58:57.131000Z,filled
sell,TOPS,43.00000000,0.13140000,2020-07-02T19:46:32.879000Z,filled
buy,TMFC,1.00000000,28.58000000,2020-07-02T19:45:18.586000Z,filled
sell,NSIT,0.00000000,,2020-07-06T20:29:35.393000Z,cancelled
sell,GSAT,8.00000000,0.47000000,2020-07-06T14:50:04.859000Z,filled
buy,TMFC,1.00000000,28.63000000,2020-07-02T19:36:56.497000Z,filled
buy,KTOV,15.00000000,0.93400000,2020-07-02T19:36:20.226000Z,filled
buy,GNUS,4.00000000,3.74000000,2020-07-02T19:35:06.898000Z,filled
sell,GNUS,5.00000000,3.55000000,2020-07-02T18:54:44.294000Z,filled
sell,PD,0.00000000,,2020-07-02T22:00:04.577000Z,cancelled
sell,DJD,2.00000000,33.71000000,2020-07-02T19:25:31.867000Z,filled
sell,DGII,0.00000000,,2020-07-02T22:00:04.693000Z,cancelled
buy,PLUG,1.00000000,9.11000000,2020-07-02T18:39:10.666000Z,filled
